Timestamps,TANK_LEVEL,J421_LEVEL,J332_LEVEL,J156_LEVEL,J39_LEVEL,J269_LEVEL,J273_LEVEL,J280_LEVEL,J285_LEVEL,PUMP1_FLOW,PUMP1_STATUS,PUMP2_FLOW,PUMP2_STATUS,Attack#01,Attack#02
2025-07-18 13:00:29.928202,2.1557725187203403,38.27593034916802,29.995708716135233,25.311389687649367,28.280703000208383,25.47621551012557,25.47621551012557,2.990738399021538,2.990738399021538,0.0,0,0.1135272846950124,1,0,0
2025-07-18 13:00:34.713669,2.2311847704332024,41.733147522960635,31.5606241044865,38.008523588541564,29.73910729959581,38.179909338293186,38.18503604511754,2.978148503348237,2.9742977612628465,0.09022543704471915,1,0.09024259514459346,1,0,0
2025-07-18 13:00:39.988389,2.3848957147684615,41.867168963633546,31.705306599178762,38.09049393303869,29.884499883839105,38.26184314347485,38.26695339862849,2.978218630232732,2.9743802451280104,0.09006897684811806,1,0.09008609048614341,1,0,0
2025-07-18 13:00:46.862176,2.538240592994356,41.659734333976246,31.556671382830153,37.73368694224652,29.7756429725193,37.905195432230926,37.91037740229454,2.9779129381669946,2.9740206874244848,0.09074932296265492,1,0.09076663021483815,1,0,0
2025-07-18 13:00:48.556458,2.6796368443779386,41.783609034628924,31.690353601910168,37.809691239965616,29.909871073286716,37.9811657518044,37.9863324233644,2.9779781496141737,2.974097389698805,0.09060455416149425,1,0.09062182015472182,1,0,0
2025-07-18 13:00:52.171447,2.8206943835853906,41.907199774801654,31.823724066230774,37.88554727321733,30.043784977844034,38.05698789994935,38.06213931489299,2.9780431824984532,2.974173881948545,0.09045998521237225,1,0.09047721003615461,1,0,0
2025-07-18 13:00:53.565908,2.961413678243929,42.03050691180684,31.956783184988872,37.961255147284135,30.17738510122883,38.13266198178137,38.13779818192074,2.978108037140167,2.9742501645504618,0.09031561617263488,1,0.09033279991639011,1,0,0
2025-07-18 13:00:55.962670,3.101795196114807,42.43494163975369,32.330283923865984,38.402188609669636,30.520328589621236,38.57339916514046,38.578446991455294,2.978484739222054,2.974693244916182,0.08947314147557026,1,0.08949008614311828,1,0,0
2025-07-18 13:00:57.929929,3.2515325689409025,42.56567578359655,32.47137743800642,38.48234516765015,30.662087393768907,38.65352013974284,38.65855194477676,2.9785530314491027,2.9747735708555396,0.08931968489479294,1,0.08933658613420524,1,0,0
2025-07-18 13:01:02.118131,3.4009109033551255,42.69611013636883,32.61214144963039,38.562346888537476,30.80351396975349,38.73348637611801,38.73850220438162,2.978621133929593,2.974853673616252,0.08916643064433569,1,0.08918328854971698,1,0,0
2025-07-18 13:01:04.072216,3.5499306727876103,42.826245057172144,32.75257637168978,38.64219386978597,30.944608736574175,38.81329797154696,38.81829786747279,2.978689046996301,2.9749335535897217,0.08901337880681354,1,0.08903019347217797,1,0,0
2025-07-18 13:01:07.951981,3.698592350861645,43.3977229676736,33.2768535137615,39.28347260375993,31.41893932578541,39.45429360427701,39.459166034762745,2.9792323796732134,2.975572626587862,0.08778072639601886,1,0.08779719415791559,1,0,0
2025-07-18 13:01:10.272788,3.861412658956368,43.53912765409041,33.42950388230157,39.3700263459929,31.572443263130673,39.54080928603723,39.54566457989834,2.979305425967496,2.9756585443401207,0.08761388126098467,1,0.08763030225218489,1,0,0
2025-07-18 13:01:14.839234,4.023842604305614,43.680208278416245,33.58179744907711,39.45641557356541,31.72558723566997,39.62716056120263,39.63199876709133,2.979378264858873,2.975744218146616,0.08744723984102905,1,0.08746361416262668,1,0,0
2025-07-18 13:01:17.144028,4.1858826635871225,43.82096519821155,33.73373462801124,39.54264037002967,31.878371663582193,39.71334751314349,39.71816867963008,2.9794508966965623,2.9758296484180775,0.08728080225278068,1,0.08729713000578324,1,0,0
2025-07-18 13:01:19.211365,4.34753331375137,43.89282357693678,33.82593616707761,39.54305718625034,31.979107668765828,39.71376414650783,39.71858523066382,2.979451247637442,2.9758300611981525,0.08727999740725668,1,0.08729632493517614,1,0,0
2025-07-18 13:01:24.040523,4.506600895360037,44.031148623321556,33.97522220189469,39.627898444084366,32.12920459224639,39.79856820204725,39.803372535959056,2.979522646897479,2.975914041703291,0.08711611899774585,1,0.08713240071625712,1,0,0
2025-07-18 13:01:26.254141,4.665285055536927,44.169154926662955,34.124157476498375,39.712577022660426,32.27894768692858,39.88320968415458,39.88799731546612,2.979593843053273,2.9759977833186397,0.08695244478293868,1,0.08696868079167887,1,0,0
2025-07-18 13:01:29.002763,4.823586272080064,44.30684284625001,34.27274240620326,39.79709300893616,32.42833737435969,39.967688679606695,39.972459655880556,2.9796648364517893,2.9760812864522848,0.08678897487419979,1,0.0868051652727182,1,0,0
2025-07-18 13:01:30.263088,4.981505023047916,44.4376729929225,34.4164296375647,39.87318549992513,32.57273159583627,40.043747896013656,40.048503890476184,2.9797286975768458,2.976156400538642,0.08664170332315509,1,0.08665785266739914,1,0,0
2025-07-18 13:01:34.060128,5.138841814844383,44.574562791902565,34.56413610994452,39.95728067292485,32.72123599734899,40.12780632745202,40.13254577909926,2.9797992125844033,2.9762393409905528,0.08647883891292654,1,0.0864949428963475,1,0,0
2025-07-18 13:01:38.254055,5.295797557826134,44.71113564152691,34.711493887277335,40.04121365373069,32.86938866490993,40.21170267166224,40.21642562775094,2.979869526138465,2.9763220444942107,0.08631617913964194,1,0.08633223786142344,1,0,0
2025-07-18 13:01:40.107088,5.452372730825232,44.84739190216963,34.85850338593361,40.12498453054283,33.017190021119184,40.2954370166639,40.30014352436953,2.9799396385857477,2.9764045114574316,0.08615372411369443,1,0.08616973767293169,1,0,0
