Timestamps,TANK_LEVEL,J421_LEVEL,J332_LEVEL,J156_LEVEL,J39_LEVEL,J269_LEVEL,J273_LEVEL,J280_LEVEL,J285_LEVEL,PUMP1_FLOW,PUMP1_STATUS,PUMP2_FLOW,PUMP2_STATUS,Attack#01,Attack#02
2025-07-19 11:56:59.395497,2.1557725187203403,38.27593034916802,29.995708716135233,25.311389687649367,28.280703000208383,25.47621551012557,25.47621551012557,2.990738399021538,2.990738399021538,0.0,0,0.1135272846950124,1,0,0
2025-07-19 11:57:00.159860,2.2311847704332024,38.34736733530663,30.069499527523654,25.37133751045249,28.354585643485372,25.53615502856252,25.53615502856252,2.9907543368086777,2.9907543368086777,0.0,0,0.1134217510560698,1,0,0
2025-07-19 11:57:01.092702,2.306473582443502,38.41868999890205,30.14317120621505,25.431194543891564,28.42834878775114,25.596003774026684,25.596003774026684,2.9907702431373764,2.9907702431373764,0.0,0,0.11331634224634465,1,0,0
2025-07-19 11:57:05.720121,2.381639100760438,41.52255351677441,31.408623358908777,37.649548892526525,29.626989041747116,37.821095028147354,37.82629394798184,2.9778406880064736,2.973935706157093,0.09090948819881804,1,0.09092684113590165,1,0,0
2025-07-19 11:57:07.251154,2.5234100870432314,41.6467423372403,31.54265046379883,37.72571710714445,29.761564732303746,37.89722916164111,37.902412736609776,2.97790609709309,2.9740126408936973,0.09076449867869124,1,0.09078181025782545,1,0,0
2025-07-19 11:57:11.401412,2.6648418446966815,41.770646802681114,31.676365362048024,37.80173694126238,29.895825768313948,37.97321500785819,37.97838327993132,2.977971327262807,2.97408936518935,0.09061970894688078,1,0.09063697925767798,1,0,0
2025-07-19 11:57:17.283472,2.8059348411990612,41.894267270224134,31.80976846268431,37.877608499898685,30.02977256464866,38.04905267164999,38.05420568272271,2.9780363788360518,2.9741658794209513,0.09047511906108376,1,0.09049234819306408,1,0,0
2025-07-19 11:57:20.231079,2.9466895441634904,42.29953493809478,32.18414131446499,38.31919775078528,30.373495646947724,38.49044517963853,38.49550960805017,2.9784139711954296,2.9746100069219565,0.0896319250725681,1,0.08964891471462366,1,0,0
2025-07-19 11:57:26.190724,3.096798418929623,42.43057924175949,32.325575746705134,38.39951440853213,30.51559819203866,38.57072615166399,38.57577451271864,2.978482459842695,2.9746905638894745,0.08947825950505743,1,0.08949520562164104,1,0,0
2025-07-19 11:57:27.736892,3.2465477662783115,42.56132338350447,32.466680249926306,38.479676128745254,30.657368076214134,38.650852285200884,38.65588462348978,2.9785507583995283,2.974770897273878,0.08932479618224887,1,0.08934169886755877,1,0,0
2025-07-19 11:57:28.718831,3.39593805943953,42.691767722214024,32.60745523687125,38.559683008621434,30.798805718265207,38.73082367727261,38.735840037308975,2.978618867198712,2.9748510074666044,0.08917153518700278,1,0.08918839453514678,1,0,0
2025-07-19 11:57:30.113906,3.5449697718369606,43.2643199568938,33.13283478969931,39.20184772751311,31.274114227466875,39.37270465389197,39.37759325989579,2.9791634301585503,2.975491527510343,0.0879379665412075,1,0.08795447842158949,1,0,0
2025-07-19 11:57:31.543825,3.7081579702068694,43.40603001484057,33.28582139966742,39.2885564062626,31.427957389379507,39.45937517027845,39.464246593785674,2.9792366720037293,2.975577675268113,0.08777092975241127,1,0.08778739476685656,1,0,0
2025-07-19 11:57:33.059020,3.870955357375962,43.54741567436123,33.43845081848335,39.37510049193315,31.58144019121024,39.54588120182291,39.55073549156286,2.9793097061172915,2.975663578693485,0.0876040965688223,1,0.08762051481850601,1,0,0
2025-07-19 11:57:34.417362,4.033362409765047,43.68847729276638,33.5907234598177,39.46148006783936,31.73456305288503,39.63222283165803,39.637060036278086,2.979382532848433,2.9757492381971957,0.08743746710715872,1,0.0874538386931697,1,0,0
2025-07-19 11:57:35.790537,4.195379604067881,43.76052456851694,33.683147349778956,39.461942708075895,31.835542165821472,39.632685268755395,39.63752238191256,2.979382922716482,2.9757496967637778,0.0874365743511032,1,0.08745294568722406,1,0,0
2025-07-19 11:57:36.757435,4.35481352413322,43.89915412126561,33.83276849669344,39.5469392890697,31.98597713551431,39.71764454629802,39.72246486366927,2.9794545161192687,2.975833905618238,0.08727250118569185,1,0.0872888266172407,1,0,0
2025-07-19 11:57:37.964929,4.513863567054571,44.03746458834726,33.98203848730717,39.63177310806117,32.13605787437394,39.802441167836704,39.807244737143634,2.979525906086735,2.9759178751935167,0.08710863210859515,1,0.08712491173529273,1,0,0
2025-07-19 11:57:40.696451,4.672530210381183,44.17545632880493,34.13095773668815,39.7164442517644,32.285784803700786,39.88707521990477,39.89186208878755,2.9795970929658324,2.976001605897686,0.086944967231296,1,0.08696120115277531,1,0,0
2025-07-19 11:57:42.139325,4.830813931923018,44.30657891283589,34.27497056078419,39.79268129922508,32.430507256246734,39.96327889995432,39.968050745233015,2.979661132251337,2.976076929535189,0.08679751067891847,1,0.08681370345798577,1,0,0
2025-07-19 11:57:43.123022,4.98851526140875,44.44377189206797,34.423010598607966,39.8769315283663,32.579348132684295,40.04749228707101,40.05224754430478,2.979731840070805,2.97616009677116,0.08663445084218069,1,0.08665059816557279,1,0,0
2025-07-19 11:57:44.355305,5.145835084799131,44.58064757784834,34.57070154378456,39.96101948127914,32.72783687161765,40.1315435030977,40.13628221962102,2.9798023461054797,2.9762430266692164,0.08647159553678312,1,0.08648769750376806,1,0,0
2025-07-19 11:57:46.360472,5.302773880679283,44.7172063303056,34.71804381243886,40.04494524591783,32.87597389540118,40.215432635808,40.22015485887404,2.9798726507020987,2.9763257196372024,0.08630894487324527,1,0.08632500158300277,1,0,0
