iteration,timestamp,TANK_LEVEL
1,2025-07-19 11:56:59.602722,2.15577251872034
2,2025-07-19 11:57:00.249328,2.2311847704332
3,2025-07-19 11:57:05.078561,2.3064735824435
4,2025-07-19 11:57:06.413393,2.38163910076044
5,2025-07-19 11:57:10.235618,2.52341008704323
6,2025-07-19 11:57:17.067350,2.66484184469668
7,2025-07-19 11:57:24.277415,2.94668954416349
8,2025-07-19 11:57:27.060685,3.09679841892962
9,2025-07-19 11:57:28.032719,3.24654776627831
10,2025-07-19 11:57:28.828562,3.39593805943953
11,2025-07-19 11:57:30.974397,3.54496977183696
12,2025-07-19 11:57:32.055998,3.70815797020687
13,2025-07-19 11:57:33.413388,3.87095535737596
14,2025-07-19 11:57:35.128260,4.03336240976505
15,2025-07-19 11:57:36.499884,4.19537960406788
16,2025-07-19 11:57:37.183470,4.35481352413322
17,2025-07-19 11:57:38.879478,4.51386356705457
18,2025-07-19 11:57:42.396008,4.83081393192302
19,2025-07-19 11:57:43.400667,4.98851526140875
20,2025-07-19 11:57:44.739744,5.14583508479913
21,2025-07-19 11:57:46.484963,5.30277388067928
22,2025-07-19 11:57:48.164791,5.45933212789276
23,2025-07-19 11:57:50.160875,5.60744550028558
24,2025-07-19 11:57:52.329981,5.75519797809206
25,2025-07-19 11:57:54.183658,5.90259003938654
26,2025-07-19 11:57:55.379065,6.0496221624531
27,2025-07-19 11:57:56.080010,6.10895263071797
28,2025-07-19 11:57:57.181102,6.16818328979519
29,2025-07-19 11:57:58.788318,6.22731426904599
30,2025-07-19 11:58:02.311636,6.28634569774994
31,2025-07-19 11:58:03.431261,6.32458812549176
32,2025-07-19 11:58:04.725535,6.36276562475781
33,2025-07-19 11:58:06.340120,6.40087828927969
34,2025-07-19 11:58:06.807928,6.43892621269735
35,2025-07-19 11:58:08.322793,6.47521793692121
36,2025-07-19 11:58:10.358764,6.50001536232875
37,2025-07-19 11:58:12.267193,6.47122685488408
38,2025-07-19 11:58:13.284770,6.37999566931998
39,2025-07-19 11:58:14.706506,6.28876448375597
40,2025-07-19 11:58:15.540001,6.19307169804952
41,2025-07-19 11:58:17.235527,6.09737891234317
42,2025-07-19 11:58:30.314231,5.90599334093075
43,2025-07-19 11:58:31.394110,5.81031964939307
44,2025-07-19 11:58:32.581771,5.71464595785547
45,2025-07-19 11:58:34.383332,5.61897226631797
46,2025-07-19 11:58:38.150596,5.52329857478055
47,2025-07-19 11:58:40.529687,5.43883651312957
48,2025-07-19 11:58:41.512008,5.35437445147866
49,2025-07-19 11:58:48.501095,5.26991238982782
50,2025-07-19 11:58:49.370896,5.18545032817705
51,2025-07-19 11:58:53.161170,5.11560152261517
52,2025-07-19 11:58:56.330835,5.04575271705332
53,2025-07-19 11:58:58.214163,4.97590391149151
54,2025-07-19 11:59:03.192392,4.82852046098027
55,2025-07-19 11:59:05.169289,4.75098581603083
56,2025-07-19 11:59:06.367410,4.67345117108147
57,2025-07-19 11:59:07.519263,4.59591652613216
58,2025-07-19 11:59:08.667175,4.52626939480056
59,2025-07-19 11:59:14.492996,4.38697513213754
60,2025-07-19 11:59:15.231840,4.31732800080609
61,2025-07-19 11:59:16.471015,4.25734556875236
62,2025-07-19 11:59:18.812937,4.19736313669866
63,2025-07-19 11:59:19.664012,4.137380704645
64,2025-07-19 11:59:22.147698,4.0031423247685
65,2025-07-19 11:59:26.841111,3.92888637694568
66,2025-07-19 11:59:27.904549,3.85463042912292
67,2025-07-19 11:59:35.473894,3.78037448130021
68,2025-07-19 11:59:37.074557,3.70476343098302
69,2025-07-19 11:59:38.939511,3.76043726861656
70,2025-07-19 11:59:40.347049,3.81601859459089
71,2025-07-19 11:59:41.715288,3.87150753035013
72,2025-07-19 11:59:43.468296,3.92860070484048
73,2025-07-19 11:59:44.937022,3.98559896616419
74,2025-07-19 11:59:48.407497,4.04250243808806
75,2025-07-19 11:59:50.557134,4.09931124429498
76,2025-07-19 11:59:53.535812,4.15550583684471
77,2025-07-19 11:59:58.687591,4.26761443397436
78,2025-07-19 12:00:00.851830,4.32352868375408
79,2025-07-19 12:00:02.656032,4.37329088823785
80,2025-07-19 12:00:05.367603,4.42296993461414
81,2025-07-19 12:00:08.577183,4.47256593554687
82,2025-07-19 12:00:09.953498,4.52207900361081
83,2025-07-19 12:00:11.978314,4.58927226879246
84,2025-07-19 12:00:12.802912,4.65635380396314
85,2025-07-19 12:00:14.071532,4.72332374760501
86,2025-07-19 12:00:14.977888,4.79018223812739
87,2025-07-19 12:00:16.312482,4.86259984589272
88,2025-07-19 12:00:19.758372,5.00707401650999
89,2025-07-19 12:00:20.691621,5.07913086962621
